code,description
1489,Hypertension Rapid Ready For Decision Summary PDF
L014,Birth Certificate
L015,Buddy/Lay Statement
L018,Civilian Police Reports
L023,Other Correspondence
L029,Copy of a DD214
L033,Death Certificate
L034,Military Personnel Record
L037,Divorce Decree
L048,Medical Treatment Record - Government Facility
L049,Medical Treatment Record - Non-Government Facility
L051,Marriage Certificate
L070,Photographs
L102,VA Form 21-2680 - Examination for Housebound Status or Permanent Need for Regular Aid & Attendance
L107,VA Form 21-4142 - Authorization To Disclose Information
L115,VA Form 21-4192 - Request for Employment Information in Connection with Claim for Disability
L117,VA Form 21-4502 - Application for Automobile or Other Conveyance and Adaptive Equipment Under 38 U.S.C. 3901-3904
L133,VA Form 21-674 - Request for Approval of School Attendance
L139,VA Form 21-686c - Declaration of Status of Dependents
L149,VA Form 21-8940 - Veterans Application for Increased Compensation Based on Un-employability
L159,VA Form 26-4555 - Application in Acquiring Specially Adapted Housing or Special Home Adaptation Grant
L222,VA Form 21-0779 - Request for Nursing Home Information in Connection with Claim for Aid & Attendance
L228,VA Form 21-0781 - Statement in Support of Claimed Mental Health Disorder(s) Due to an In-Service Traumatic Event(s)
L229,VA Form 21-0781a - Statement in Support of Claim for PTSD Secondary to Personal Assault
L418,Court papers / documents
L450,STR - Dental - Photocopy
L451,STR - Medical - Photocopy
L478,Medical Treatment Records - Furnished by SSA
L702,Disability Benefits Questionnaire (DBQ)
L703,Goldmann Perimetry Chart/Field Of Vision Chart
L827,VA Form 21-4142a - General Release for Medical Provider Information
L1489,Automated Review Summary Document
LNEW0,VA Form 21-4138 - Statement in Support of Claim
